SurveyName,Surveyyear,Season,ID,Intid,Strat,Stratname,Selected,Counted,UnitID,GMU,U17A,U17TNWR,U18GNS,U18KANAROL,U18TNWR,AreaMi,centrlat,centrlon,adult,calf,unknown,datecounted,searchmin,comments,,,
TOGIAK NWR MAR 2017,2017,spring,5940-16000,269,H,HIGH,0,0,5940-16000,17A,1,1,0,0,0,6.731,59.6833,-160.0417,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5940-15930,275,H,HIGH,1,1,5940-15930,17A,1,1,0,0,0,6.731,59.6833,-159.5417,3,0,0,3/11/17,22,,,,
TOGIAK NWR MAR 2017,2017,spring,5938-16135,281,H,HIGH,1,1,5938-16135,18,0,0,0,1,1,6.738,59.6500,-161.6250,4,2,0,3/11/17,28,,,,
TOGIAK NWR MAR 2017,2017,spring,5938-16010,298,H,HIGH,0,0,5938-16010,17A,1,1,0,0,0,6.738,59.6500,-160.2083,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5938-16005,299,H,HIGH,0,0,5938-16005,17A,1,1,0,0,0,6.738,59.6500,-160.1250,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5938-16000,300,H,HIGH,0,0,5938-16000,17A,1,1,0,0,0,6.738,59.6500,-160.0417,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5938-15955,301,H,HIGH,1,1,5938-15955,17A,1,1,0,0,0,6.738,59.6500,-159.9583,0,0,0,3/12/17,21,,,,
TOGIAK NWR MAR 2017,2017,spring,5936-16130,313,H,HIGH,1,1,5936-16130,18,0,0,0,1,1,6.744,59.6167,-161.5417,0,0,0,3/11/17,16,,,,
TOGIAK NWR MAR 2017,2017,spring,5936-16015,328,H,HIGH,0,0,5936-16015,17A,1,1,0,0,0,6.744,59.6167,-160.2917,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5936-16010,329,H,HIGH,0,0,5936-16010,17A,1,1,0,0,0,6.744,59.6167,-160.2083,0,0,0,,,,,,
